gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2250725953	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=JRPAA3953-15	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	JP	Ishigaki Island Yonehara	b3bf3a83-1f68-4541-a03f-330d30d567f5									2007-11-07T00:00:00Z	7	11	2007	9756683	9756683	UNKNOWN							CC_BY_4_0	Barcode of Life Datasystems				2019-06-17T13:48:48.593Z		
2250725951	040c5662-da76-4782-a48e-cdea1892d14c	http://bins.boldsystems.org/index.php/Public_RecordView?processid=JRPAA3952-15	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	JP	Okinawajima Island Bise	b3bf3a83-1f68-4541-a03f-330d30d567f5									2007-05-16T00:00:00Z	16	5	2007	9756683	9756683	UNKNOWN							CC_BY_4_0	Barcode of Life Datasystems				2019-06-17T13:48:47.820Z		
2017108118	e5a6c31a-a253-4f87-a2a7-f2d18cd82be0	MGYA00203079_Eukaryota:::Florideophyceae:Hapalidiales:Hapalidiaceae:Mesophyllum:Mesophyllum_erubescens	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ		ab733144-7043-4e88-bd4f-fca7bf858880	-41.245	174.24							2012-11-01T00:00:00Z	1	11	2012	9756683	9756683	MATERIAL_SAMPLE							CC_BY_4_0					2019-03-21T15:47:22.588Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2017049547	e5a6c31a-a253-4f87-a2a7-f2d18cd82be0	MGYA00202901_Eukaryota:::Florideophyceae:Hapalidiales:Hapalidiaceae:Mesophyllum:Mesophyllum_erubescens	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ		ab733144-7043-4e88-bd4f-fca7bf858880	-41.245	174.24							2012-11-01T00:00:00Z	1	11	2012	9756683	9756683	MATERIAL_SAMPLE							CC_BY_4_0					2019-03-21T15:45:34.823Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2017031148	e5a6c31a-a253-4f87-a2a7-f2d18cd82be0	MGYA00202839_Eukaryota:::Florideophyceae:Hapalidiales:Hapalidiaceae:Mesophyllum:Mesophyllum_erubescens	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ		ab733144-7043-4e88-bd4f-fca7bf858880	-41.245	174.24							2013-11-01T00:00:00Z	1	11	2013	9756683	9756683	MATERIAL_SAMPLE							CC_BY_4_0					2019-03-21T15:45:11.037Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2016999205	e5a6c31a-a253-4f87-a2a7-f2d18cd82be0	MGYA00202721_Eukaryota:::Florideophyceae:Hapalidiales:Hapalidiaceae:Mesophyllum:Mesophyllum_erubescens	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ		ab733144-7043-4e88-bd4f-fca7bf858880	-41.245	174.24							2012-11-01T00:00:00Z	1	11	2012	9756683	9756683	MATERIAL_SAMPLE							CC_BY_4_0					2019-03-21T15:44:22.172Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2016956557	e5a6c31a-a253-4f87-a2a7-f2d18cd82be0	MGYA00202573_Eukaryota:::Florideophyceae:Hapalidiales:Hapalidiaceae:Mesophyllum:Mesophyllum_erubescens	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ		ab733144-7043-4e88-bd4f-fca7bf858880	-41.245	174.24							2013-11-01T00:00:00Z	1	11	2013	9756683	9756683	MATERIAL_SAMPLE							CC_BY_4_0					2019-03-21T15:41:43.523Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
2016932248	e5a6c31a-a253-4f87-a2a7-f2d18cd82be0	MGYA00202509_Eukaryota:::Florideophyceae:Hapalidiales:Hapalidiaceae:Mesophyllum:Mesophyllum_erubescens	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	NZ		ab733144-7043-4e88-bd4f-fca7bf858880	-41.245	174.24							2013-11-01T00:00:00Z	1	11	2013	9756683	9756683	MATERIAL_SAMPLE							CC_BY_4_0					2019-03-21T15:37:47.370Z		COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84
1989214519	c8d12f8a-7e39-4e2c-92d7-825d590ad15b	a4726c3b-e8a4-4cfc-8a6a-22da2971e563	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Lithothamnion erubescens Foslie	US	Northeast Fort, Key West	174c6da2-e002-42fe-9f56-2f9d670240f4									1939-08-05T00:00:00Z	5	8	1939	2654696	9756683	PRESERVED_SPECIMEN	MICH	Algae	737600				CC_BY_NC_4_0		C.E. Burt			2019-06-12T12:31:22.932Z		
1989179212	c8d12f8a-7e39-4e2c-92d7-825d590ad15b	9b128945-0594-4590-9507-6cdc4fcd943e	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Lithothamnion erubescens Foslie	BM	No data	174c6da2-e002-42fe-9f56-2f9d670240f4													2654696	9756683	PRESERVED_SPECIMEN	MICH	Algae	737796				CC_BY_NC_4_0		W.G. Farlow			2019-07-12T12:30:57.228Z		TAXON_MATCH_FUZZY
1989018014	c8d12f8a-7e39-4e2c-92d7-825d590ad15b	70432883-b94e-472c-a77e-a4a6eab04ebf	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Lithothamnion erubescens Foslie	BM	No data	174c6da2-e002-42fe-9f56-2f9d670240f4													2654696	9756683	PRESERVED_SPECIMEN	MICH	Algae	737660				CC_BY_NC_4_0		W.G. Farlow			2019-07-12T12:30:03.755Z		
1988752681	c8d12f8a-7e39-4e2c-92d7-825d590ad15b	2982e444-2642-478a-9f15-d12fa04d38ae	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Lithothamnion erubescens Foslie	BM	No data	174c6da2-e002-42fe-9f56-2f9d670240f4									1901-03-18T00:00:00Z	18	3	1901	2654696	9756683	PRESERVED_SPECIMEN	MICH	Algae	737601				CC_BY_NC_4_0		ex Hebr			2019-07-12T12:28:47.005Z		
1987711837	90302970-1bc6-4865-be76-9aef1dd707f9	1383DFC4-F712-AB4C-A0A3-3750E73FE7A0	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	CL	Bahia Pumillahue	b542788f-0dc2-4a2b-b652-fceced449591	-41.94486	-74.03019	1.0						2014-04-19T00:00:00Z	19	4	2014	9756683	9756683	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A91955	PTM-954	Patrick T. Martone, Katharine R. Hind	2014-01-01T00:00:00Z	CC0_1_0	University of British Columbia	Katharine R. Hind, Meghann R. Bruce			2019-01-18T02:52:06.285Z		
1987711136	90302970-1bc6-4865-be76-9aef1dd707f9	1667DCF7-F412-2544-9CA6-7167499FAF78	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	CL	Bahia Pumillahue	b542788f-0dc2-4a2b-b652-fceced449591	-41.94486	-74.03019	1.0						2014-04-19T00:00:00Z	19	4	2014	9756683	9756683	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A91956	PTM-955	Patrick T. Martone, Katharine R. Hind	2014-01-01T00:00:00Z	CC0_1_0	University of British Columbia	Katharine R. Hind, Meghann R. Bruce			2019-01-18T02:52:05.741Z		
1987703879	90302970-1bc6-4865-be76-9aef1dd707f9	2E70EF61-CE22-7F4D-8CE6-C7CCD42600F0	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	CL	Bahia Pumillahue	b542788f-0dc2-4a2b-b652-fceced449591	-41.94486	-74.03019	1.0						2014-04-19T00:00:00Z	19	4	2014	9756683	9756683	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A91954	PTM-953	Patrick T. Martone, Katharine R. Hind	2014-01-01T00:00:00Z	CC0_1_0	University of British Columbia	Katharine R. Hind, Meghann R. Bruce			2019-01-18T02:52:03.963Z		
1987681684	90302970-1bc6-4865-be76-9aef1dd707f9	7BFDE3CA-89F3-CA40-950E-5920DA931F3A	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Mesophyllum erubescens (Folie) Me.Lemoine	CL	Bonifacio	b542788f-0dc2-4a2b-b652-fceced449591	-39.69365	-73.38219							2014-04-14T00:00:00Z	14	4	2014	9756683	9756683	PRESERVED_SPECIMEN	ca.ubc	UBCAlgae	A91669	PTM-901	Katharine R. Hind	2014-01-01T00:00:00Z	CC0_1_0	University of British Columbia	Katharine R. Hind, Meghann R. Bruce			2019-01-18T02:51:58.005Z		COORDINATE_UNCERTAINTY_METERS_INVALID
1933667702	848e55dc-f762-11e1-a439-00145eb45e9a	de04ac0f-b574-46d5-9b0e-f4fa90030628	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Lithothamnion erubescens Foslie	JP		4fd82480-ea1c-11da-8db4-b8a03c50a862									1969-07-28T00:00:00Z	28	7	1969	2654696	9756683	PRESERVED_SPECIMEN	TNS	AL	30023				CC_BY_4_0					2018-12-09T06:09:05.477Z		
1930801299	d415c253-4d61-4459-9d25-4015b9084fb0	d69f2f85-eebf-41ac-8f55-0a0a7ebac2fe	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Lithothamnion erubescens Foslie	BM		ae447c50-b8a8-11d8-92a4-b8a03c50a862													2654696	9756683	PRESERVED_SPECIMEN	NY	NY	02284722	XVIII			CC0_1_0	The New York Botanical Garden	W. G. Farlow			2018-12-13T21:45:01.339Z	STILLIMAGE	
1930643354	d415c253-4d61-4459-9d25-4015b9084fb0	cb7a6af5-a56d-45b9-9d96-cb591e3be3fc	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens		SPECIES	Lithothamnion erubescens Foslie	BM		ae447c50-b8a8-11d8-92a4-b8a03c50a862													2654696	9756683	PRESERVED_SPECIMEN	NY	NY	02284721	XII			CC0_1_0	The New York Botanical Garden	W. G. Farlow			2018-12-13T21:25:20.797Z	STILLIMAGE	
1928987594	d415c253-4d61-4459-9d25-4015b9084fb0	5649ccfc-3898-4d04-b2b1-43dcdde192f5	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Mesophyllum	Mesophyllum erubescens	haingsisianum	FORM	Lithothamnion erubescens f. haingsisianum Weber-van Bosse & Foslie, 1901	ID	Near Timor.	ae447c50-b8a8-11d8-92a4-b8a03c50a862													2654699	9756683	PRESERVED_SPECIMEN	NY	NY	00945446	s.n.			CC0_1_0	The New York Botanical Garden	A. A. Weber-van Bosse			2018-12-13T20:23:07.690Z	STILLIMAGE	TAXON_MATCH_FUZZY
